iter	RMSE
0	66298.2189
1	65976.62326
2	65671.9809
3	65354.54545
4	65031.2103
5	64733.49325
6	64435.49001
7	64150.84266
8	63864.95338
9	63560.09358
10	63269.3563
11	62990.38377
12	62702.70856
13	62414.75496
14	62121.22639
15	61828.55612
16	61531.06373
17	61269.67674
18	60990.82859
19	60717.78953
20	60444.58676
21	60162.01823
22	59883.56463
23	59606.07689
24	59324.61128
25	59056.26976
26	58796.69666
27	58535.97324
28	58264.02586
29	58027.43703
30	57765.43009
31	57503.9674
32	57247.18647
33	56992.10722
34	56735.97165
35	56487.08292
36	56231.66376
37	55987.98887
38	55753.17736
39	55516.24762
40	55275.77638
41	55034.19578
42	54786.58879
43	54550.60123
44	54311.38829
45	54078.60031
46	53856.48597
47	53625.5466
48	53411.55748
49	53174.81238
50	52942.50264
51	52709.86128
52	52485.10183
53	52255.14767
54	52034.32334
55	51810.6156
56	51603.45687
57	51380.56263
58	51160.13854
59	50965.02334
60	50764.45556
61	50551.96191
62	50368.64486
63	50163.24815
64	49958.02474
65	49746.13238
66	49547.46396
67	49347.36719
68	49146.0475
69	48938.96852
70	48733.22881
71	48539.35448
72	48337.82527
73	48143.02856
74	47951.52793
75	47767.09163
76	47578.62113
77	47390.72596
78	47200.42501
79	47018.49293
80	46834.7322
81	46660.48611
82	46480.32722
83	46319.68527
84	46149.89161
85	45966.93016
86	45799.21662
87	45632.73594
88	45454.84001
89	45284.69697
90	45116.23443
91	44947.86231
92	44792.89383
93	44622.03943
94	44458.92701
95	44292.16193
96	44131.31244
97	43962.12783
98	43793.81361
99	43619.74669
100	43452.97066
101	43295.75782
102	43137.34135
103	42990.10881
104	42826.56804
105	42677.96634
106	42523.16113
107	42370.70484
108	42212.93007
109	42067.80737
110	41925.22302
111	41766.42107
112	41614.37486
113	41472.99211
114	41333.4278
115	41185.30576
116	41041.24878
117	40893.49415
118	40745.58985
119	40600.69635
120	40454.87097
121	40316.27817
122	40161.41754
123	40026.07662
124	39880.86759
125	39736.24833
126	39596.33137
127	39464.41827
128	39334.32544
129	39195.66421
130	39065.9607
131	38939.8284
132	38804.11369
133	38680.51018
134	38559.58708
135	38432.05711
