iter	Passed	Remaining
0	2	27182
1	4	21468
2	6	21523
3	8	21640
4	10	20453
5	11	19175
6	12	18268
7	16	20640
8	17	19792
9	19	19364
10	20	19047
11	22	18515
12	23	17989
13	24	17806
14	26	17541
15	28	17818
16	29	17477
17	31	17249
18	32	17030
19	34	17160
20	36	17133
21	37	16929
22	38	16735
23	39	16570
24	41	16386
25	42	16397
26	44	16352
27	45	16295
28	47	16158
29	48	16039
30	49	15923
31	50	15846
32	52	15824
33	53	15720
34	54	15606
35	56	15588
36	57	15521
37	59	15599
38	61	15652
39	62	15606
40	63	15531
41	65	15450
42	66	15375
43	67	15301
44	69	15295
45	70	15351
46	72	15295
47	73	15234
48	74	15065
49	75	15066
50	77	15057
51	78	15075
52	80	15063
53	81	15016
54	83	15150
55	85	15119
56	86	15080
57	87	15043
58	89	15003
59	89	14896
60	90	14799
61	92	14794
62	93	14782
63	95	14782
64	96	14753
65	98	14750
66	99	14736
67	101	14753
68	102	14755
69	103	14731
70	105	14703
71	106	14673
72	107	14648
73	109	14662
74	110	14649
75	113	14823
76	114	14809
77	116	14841
78	118	14851
79	119	14833
80	120	14810
81	122	14787
82	123	14762
83	125	14800
84	127	14815
85	128	14829
86	130	14845
87	131	14848
88	133	14861
89	135	14875
90	136	14896
91	138	14898
92	139	14860
93	141	14878
94	143	14928
95	144	14931
96	146	14923
97	147	14898
98	148	14893
99	150	14882
100	152	14963
101	154	15018
102	156	15015
103	157	15003
104	159	15011
105	161	15046
106	162	15051
107	164	15056
108	165	15050
109	167	15072
110	169	15100
111	171	15123
112	172	15119
113	174	15091
114	175	15085
115	177	15104
116	178	15075
117	179	15053
118	181	15073
119	183	15102
120	185	15108
121	186	15102
122	187	15077
123	189	15074
124	190	15076
125	192	15066
126	193	15071
127	195	15111
128	197	15087
129	198	15062
130	199	15054
131	201	15034
132	202	15031
133	204	15030
134	205	15020
135	206	15001
136	208	15033
137	210	15040
138	211	15035
139	213	15015
140	214	15003
141	215	14981
142	217	14958
143	218	14963
144	219	14943
145	221	14933
146	223	14950
147	224	14962
148	226	14954
149	227	14957
150	229	14944
151	230	14920
152	231	14902
153	233	14897
154	234	14882
155	236	14930
156	238	14929
157	239	14927
158	241	14928
159	242	14907
160	243	14901
161	245	14885
162	246	14864
163	247	14845
164	248	14825
165	250	14844
166	252	14856
167	253	14849
168	254	14827
169	256	14805
170	257	14783
171	258	14786
172	260	14781
173	261	14774
174	262	14725
175	264	14739
176	265	14743
177	267	14776
178	269	14777
179	270	14780
180	272	14774
181	273	14772
182	275	14780
183	277	14828
184	279	14833
185	281	14833
186	282	14837
187	284	14836
188	285	14843
189	288	14876
190	289	14877
191	292	14917
192	293	14933
193	295	14933
194	296	14926
195	298	14924
196	300	14943
197	303	15015
198	305	15037
199	307	15061
200	308	15061
201	310	15055
202	311	15042
203	313	15031
204	314	15018
205	315	14999
206	316	14993
207	318	14987
208	320	15013
209	321	15000
210	323	14985
211	324	14978
212	325	14963
213	327	14961
214	328	14941
215	329	14927
216	330	14879
217	331	14863
218	332	14862
219	334	14873
220	335	14859
221	337	14855
222	338	14842
223	339	14828
224	341	14822
225	342	14808
226	343	14806
227	345	14799
228	346	14799
229	348	14807
230	351	14854
231	352	14848
232	353	14837
233	355	14821
234	356	14808
235	357	14794
236	358	14781
237	360	14797
238	362	14819
239	364	14812
240	365	14801
241	367	14802
242	368	14799
243	369	14783
244	371	14771
245	372	14756
246	373	14743
247	374	14742
248	376	14751
249	378	14744
250	379	14732
251	380	14719
252	381	14705
253	383	14697
254	384	14683
255	385	14679
256	386	14666
257	388	14662
258	390	14677
259	391	14672
260	392	14660
261	394	14658
262	395	14648
263	396	14636
264	398	14625
265	399	14613
266	400	14605
267	402	14615
268	404	14637
269	405	14625
270	407	14616
271	408	14613
272	409	14602
273	411	14599
274	412	14592
275	413	14582
276	415	14570
277	416	14563
278	418	14577
279	419	14570
280	421	14560
281	422	14552
282	424	14564
283	425	14559
284	427	14557
285	428	14548
286	429	14539
287	431	14555
288	433	14553
289	434	14552
290	436	14559
291	438	14565
292	439	14566
293	441	14565
294	442	14566
295	445	14587
296	446	14598
297	448	14589
298	449	14579
299	450	14572
300	452	14568
301	453	14557
302	454	14552
303	455	14541
304	457	14533
305	459	14549
306	460	14549
307	462	14540
308	463	14529
309	464	14521
310	465	14510
311	467	14507
312	468	14501
313	469	14493
314	471	14483
315	472	14487
316	474	14482
317	475	14476
318	476	14471
319	478	14468
320	479	14460
321	480	14450
322	482	14439
323	483	14432
324	484	14425
325	486	14432
326	488	14442
327	489	14430
328	490	14422
329	492	14418
330	493	14417
331	494	14393
332	495	14389
333	496	14381
334	498	14373
335	499	14362
336	501	14374
337	502	14373
338	504	14366
339	505	14354
340	506	14344
341	507	14335
342	509	14329
343	510	14326
344	511	14322
345	513	14312
346	515	14326
347	516	14318
348	517	14311
349	519	14310
350	520	14299
351	521	14297
352	522	14291
353	524	14282
354	525	14279
355	526	14272
356	529	14303
357	530	14296
358	532	14286
359	533	14274
360	534	14268
361	535	14265
362	537	14257
363	538	14251
364	539	14241
365	540	14231
366	542	14240
367	544	14245
368	545	14239
369	546	14232
370	548	14222
371	549	14213
372	550	14208
373	551	14201
374	553	14199
375	554	14190
376	555	14187
377	557	14195
378	559	14193
379	560	14186
380	561	14185
381	563	14183
382	564	14172
383	565	14163
384	566	14158
385	568	14150
386	569	14152
387	572	14169
388	573	14162
389	574	14154
390	576	14156
391	577	14149
392	578	14149
393	580	14160
394	582	14151
395	583	14148
396	585	14157
397	587	14161
398	588	14162
399	590	14163
400	591	14163
401	593	14164
402	595	14168
403	596	14167
404	599	14195
405	600	14197
406	602	14190
407	603	14188
408	604	14183
409	606	14177
410	607	14169
411	608	14160
412	609	14154
413	611	14154
414	613	14169
415	614	14161
416	616	14154
417	617	14153
418	618	14146
419	620	14144
420	621	14141
421	622	14133
422	624	14129
423	625	14121
424	627	14129
425	628	14128
426	630	14123
427	631	14118
428	632	14109
429	633	14106
430	635	14099
431	636	14097
432	637	14088
433	639	14083
434	640	14092
435	642	14086
436	643	14079
437	644	14078
438	646	14071
439	647	14064
440	648	14058
441	649	14037
442	650	14037
443	652	14031
444	653	14037
445	655	14045
446	656	14038
